x,M,mean_delay,p95_delay,throughput,ci_mean_low,ci_mean_high,ci_p95_low,ci_p95_high
0.1,450,1310.4327549046286,2131.657285521063,4.551622222222223,1298.828070456202,1322.037439353055,2113.1426119534403,2150.1719590886855
0.1,500,1497.762384764056,2397.827137303165,4.444066666666666,1483.8667934165667,1511.6579761115452,2384.309711863539,2411.3445627427905
0.2,50,2.1323073232468337,2.8928042798902114,1.0089777777777778,2.1253879537482776,2.13922669274539,2.8778034509039303,2.9078051088764925
0.2,100,2.233866323351072,3.14728281781863,1.9956666666666667,2.225845081476258,2.2418875652258863,3.131183149384036,3.163382486253224
0.2,150,2.4271912450995625,3.6482169746679647,3.0044666666666666,2.414173537707985,2.44020895249114,3.601996419289017,3.6944375300469123
0.2,200,2.93359554912949,5.043207455657784,3.9904666666666673,2.8819878839660076,2.985203214292972,4.890686649287811,5.195728262027758
0.2,250,17.297094611854646,35.289084431998226,4.9537555555555555,12.97599441805059,21.618194805658703,27.05496600848907,43.52320285550738
0.2,300,479.86727978877695,811.4143902540787,4.87668888888889,462.22325452405823,497.5113050534957,790.143570862525,832.6852096456324
0.2,350,820.4833804345283,1386.3224998938556,4.763933333333332,807.4847806548471,833.4819802142094,1369.6070810823524,1403.0379187053588
0.2,400,1091.086212753013,1807.6717905718847,4.654288888888889,1079.063440053721,1103.1089854523048,1792.945737781588,1822.3978433621814
0.2,450,1322.4889159428956,2136.2047673156444,4.549511111111111,1310.9518332538942,1334.025998631897,2120.801132780735,2151.608401850554
0.2,500,1505.9044430467907,2406.468602359735,4.440288888888889,1494.8802851152964,1516.928600978285,2389.9982809425314,2422.9389237769387
0.3,50,2.006541099317136,2.86743575133264,1.0032444444444446,1.9956038501955224,2.01747834843875,2.8503453753163437,2.8845261273489364
0.3,100,2.109843002821303,3.090914505321412,1.9887777777777778,2.100870767434586,2.1188152382080196,3.067806146390658,3.114022864252166
0.3,150,2.3050563206366355,3.5473456890005735,2.9988888888888887,2.2898310371735415,2.3202816040997294,3.489818212479106,3.604873165522041
0.3,200,2.907845495098224,5.250406662324479,4.001955555555556,2.8241599175732146,2.991531072623234,4.890826993979384,5.609986330669574
